Symbol,Name,PE Ratio,Dividend Yield,Earnings Growth
DXCM,"DexCom, Inc.",0.026485030482434245,0.0,0.008922476371782668
SRE,DBA Sempra,0.13562285044027594,0.08322792309638248,0.004663147672752796
BSBR,Banco Santander Brasil SA,0.09742623600200039,0.14647103465722233,0.0021825454055977
SPG,"Simon Property Group, Inc.",0.10625774092102017,0.1307867442448773,0.0034773300515029432
AFL,AFLAC Incorporated,0.21128902747445283,0.06248418922337464,0.00451572169821903
CPRT,"Copart, Inc.",0.06352948806366047,0.0,0.0033843875892968743
EW,Edwards Lifesciences Corporatio,0.061179939821436324,0.0,0.002926085103246256
AZO,"AutoZone, Inc.",0.11383221070098828,0.0,0.003717698488242778
AIG,"American International Group, I",0.15632250819693,0.05059448520111307,0.00042625336115197375
PAYX,"Paychex, Inc.",0.0834580915448608,0.07184416898558056,0.0034132318017056538
STM,STMicroelectronics N.V.,0.21706920259802034,0.0131545661522894,0.0026921264914861495
SQ,"Block, Inc.",0.0006068055991892578,0.0,0.0
HLT,Hilton Worldwide Holdings Inc.,0.04976334864841448,0.006830255502150265,0.0014390057079491441
ABEV,Ambev S.A.,0.16547699258875626,0.14874778649127243,0.003951657100002884
ROST,"Ross Stores, Inc.",0.07870874773763367,0.02251454591449532,0.0041792058867832615
IDXX,"IDEXX Laboratories, Inc.",0.04121247842466185,0.0,0.0035093791764015878
KHC,The Kraft Heinz Company,0.1442281646442224,0.1118138122944599,0.0026344380666685893
KDP,Keurig Dr Pepper Inc.,0.11696110642844658,0.07159119150012647,0.004897106284512901
HES,Hess Corporation,0.07001189499222933,0.02909182899064002,0.002586364379320622
FTNT,"Fortinet, Inc.",0.050604778075135116,0.0,0.0031792731899455483
TEL,TE Connectivity Ltd. New Switze,0.1640047475925819,0.04123450543890716,0.014713753240967754
VLO,Valero Energy Corporation,0.3584680997727371,0.07589172527194535,0.0012915797334153792
STZ,"Constellation Brands, Inc.",0.08078395520198169,0.035922087022514544,0.0038587146377968146
AEP,American Electric Power Company,0.12029108688609808,0.10751328105236528,0.0043266318613170264
ET,Energy Transfer LP,0.16336779315919253,0.21350872754869715,0.0033811826768070092
JD,"JD.com, Inc.",0.19260018590465117,0.06501391095370604,0.004416369411033232
